72187 81749 72303 81778
5000
1/1554(4 steps):RRRD
2/3268(4 steps):DRDD
3/4157(4 steps):URDD
4/2739(5 steps):LURDR
5/2782(5 steps):LLDRR
6/1253(6 steps):RRRRDD
7/1878(7 steps):DLUURDD
8/4885(7 steps):LLDDRRR
9/23(8 steps):DDLLURDR
10/731(8 steps):RULDRDDD
11/3432(8 steps):DDLLURRD
12/3512(9 steps):DLURULDDR
13/3754(9 steps):LLDRRULDR
14/4498(9 steps):RDLULDRRD
15/1091(10 steps):DDLURULDDR
16/2199(10 steps):UULDLURDRD
17/2418(10 steps):RUUURDLDDR
18/3745(10 steps):LURULDRDRR
19/4716(10 steps):ULDRULURDD
20/4728(10 steps):LURDLDDDRR
21/623(11 steps):UURDRULDRRD
22/1395(11 steps):RRRDRUULDRD
23/2210(11 steps):DDRUULLDRDR
24/2536(11 steps):UULDLDRURRD
25/3697(11 steps):DLLULDRRURD
26/126(12 steps):RULDLUURDDRD
27/206(12 steps):URULDRRULDRD
28/243(12 steps):ULDLLUURRDDR
29/622(12 steps):LDRDLLURURDD
30/739(12 steps):DDRRUULLDDRR
31/1774(12 steps):ULULLDRRURDD
32/2167(12 steps):DDLULUURRDDD
33/2372(12 steps):UULLDRRDLURD
34/2498(12 steps):RDLULLURRRDD
35/2474(12 steps):DLDLUULDRRRD
36/4630(12 steps):DRUULULDRDDR
37/4706(12 steps):RRUULLDLDRRR
38/4905(12 steps):LURULDRRURDD
39/741(13 steps):DRRULLDRURDDR
40/801(13 steps):RURDLDLUURRDD
41/952(13 steps):LDDDLUUURDDDR
42/1269(13 steps):URULLDRDLURDR
43/4116(13 steps):RULLURURDDLDR
44/135(14 steps):RRDLLDRULURDRD
45/404(14 steps):RDDLUURDLURRDD
46/2837(14 steps):DLULLDRDLDRDRR
47/3179(14 steps):DRDDLLUUURDRDD
48/3684(14 steps):DDLLURRDLUURDD
49/3979(14 steps):ULULDRURRRDLDR
50/4094(14 steps):DDLURULLDRURDD
51/97(15 steps):URDRRURDDLUURDD
52/332(15 steps):RDLURURULDLDRDR
53/2126(15 steps):ULDRRULDLURRDDD
54/2387(15 steps):LDDRRUULLDDRURD
55/2620(15 steps):LULDDRULURDDRRR
56/2998(15 steps):URDRULULDRDLDRR
57/4227(15 steps):DDDRRUUULLDDDRR
58/4365(15 steps):RURRULDDRULURDD
59/4405(15 steps):DRDLUURDLULDRRD
60/7(16 steps):ULDRUULDDRUULDDR
61/473(16 steps):LDRURRDLDRUULDDR
62/517(16 steps):LURDLULDRURDDRDD
63/747(16 steps):RDDDRUUULDDDLDRR
64/841(16 steps):LURDDRULDLURURDD
65/1267(16 steps):LLLURURRDDLLURRD
66/1440(16 steps):RDDLLULDRUURRRDD
67/1948(16 steps):DDLURURDDRUULDRD
68/2140(16 steps):RDDRULDLLUURRRDD
69/2942(16 steps):UULLDDRRURRDLURD
70/3077(16 steps):LDDLULDRRRULURDD
71/3107(16 steps):LDRDRDLURULLDRDR
72/3219(16 steps):DDLDRURDLUULDDRR
73/3632(16 steps):DRRDLLUURDDLURRD
74/3983(16 steps):ULDDLUURDRUURDDD
75/4202(16 steps):RULDRRULULDRURDD
76/45(17 steps):DRRUUULDLURDLDDRR
77/893(17 steps):RDLULDRURRDLUURDD
78/1628(17 steps):ULDLLDRRRUULDLDRR
79/2030(17 steps):DRULURDDLUURDRRDR
80/3749(17 steps):DLLDLDRRRUUULDRDD
81/4038(17 steps):UURRDDDLLUUURRDDD
82/4037(17 steps):RDDLLDDRRUULLDDRR
83/151(18 steps):LULDRRRRUULLLDDRRR
84/348(18 steps):ULLDRRULLUURRDDLDR
85/435(18 steps):LDRULDDRULURDDRURD
86/1885(18 steps):LDRRURDLDRULURDLDR
87/1914(18 steps):DDLULDRURDLULDRURD
88/2564(18 steps):ULDLDDRRULUULDRRDD
89/2516(18 steps):RRURDDLUURDLULDDRR
90/2907(18 steps):LUURDLDLLLUURRDDRR
91/3422(18 steps):LDDRRDLURUULLDDRRD
92/3488(18 steps):URRDDDLURUULLDDDRR
93/3675(18 steps):RURDLULDLURDDRURRD
94/4028(18 steps):RDLULURRDDLLURURDD
95/4394(18 steps):LULDRUURULDLURRDDD
96/4518(18 steps):DLDRRUULDRDLULDRRR
97/4625(18 steps):URULDRURDLULDDRDRD
98/4835(18 steps):UUURDDLURDLDDLURRD
99/1159(19 steps):URURRDDLLULDRUURRDD
100/1732(19 steps):URRDDLLLURDLUURRRDD
101/1340(19 steps):RRULLDDRURDLURULDRD
102/1681(19 steps):DRULURDLDRULURRRRDD
103/1493(19 steps):RDLLUURRDLDLURURDRD
104/1965(19 steps):DDRRRUULULDLURDRRDD
105/2682(19 steps):DDDLULUURULDRURDDDD
106/3248(19 steps):RRDLULURULDRRDDLURD
107/3564(19 steps):DDLURDDLUUURURRDDDD
108/4105(19 steps):DRULDDRUULLDRURDLDR
